list,word,definition,example
List 24-25,Connoisseur,"An expert judge in matters of taste, such as art, food, or music.",The student reviewed connoisseur carefully during SSAT vocabulary practice.
List 24-25,Consecrate,To make sacred or dedicate to a special purpose.,The student reviewed consecrate carefully during SSAT vocabulary practice.
List 24-25,Consensus,General agreement among a group.,The student reviewed consensus carefully during SSAT vocabulary practice.
List 24-25,Consonant,In agreement or harmony with something.,The student reviewed consonant carefully during SSAT vocabulary practice.
List 26-27,Construe,To interpret or understand in a particular way.,The student reviewed construe carefully during SSAT vocabulary practice.
List 26-27,Consummate,Complete or perfect; to bring something to completion.,The student reviewed consummate carefully during SSAT vocabulary practice.
List 26-27,Contentious,Likely to cause argument; quarrelsome.,The student reviewed contentious carefully during SSAT vocabulary practice.
List 26-27,Contiguous,Touching or sharing a border; next to each other.,The student reviewed contiguous carefully during SSAT vocabulary practice.
List 26-27,Contingent,Dependent on something else; possible but not certain.,The student reviewed contingent carefully during SSAT vocabulary practice.
List 26-27,Contrite,Deeply sorry for wrongdoing.,The student reviewed contrite carefully during SSAT vocabulary practice.
List 26-27,Contrived,"Artificial, forced, or not natural.",The student reviewed contrived carefully during SSAT vocabulary practice.
List 26-27,Conventional,"Traditional, ordinary, or following accepted customs.",The student reviewed conventional carefully during SSAT vocabulary practice.
List 26-27,Convivial,"Friendly, lively, and enjoyable.",The student reviewed convivial carefully during SSAT vocabulary practice.
List 26-27,Copious,Abundant; present in large amounts.,The student reviewed copious carefully during SSAT vocabulary practice.
List 26-27,Corollary,A natural result or consequence.,The student reviewed corollary carefully during SSAT vocabulary practice.
List 26-27,Corroborate,To confirm or support with evidence.,The student reviewed corroborate carefully during SSAT vocabulary practice.
List 26-27,Cosmopolitan,"Worldly, sophisticated, or familiar with many cultures.",The student reviewed cosmopolitan carefully during SSAT vocabulary practice.
List 26-27,Countenance,A facial expression; to approve or tolerate.,The student reviewed countenance carefully during SSAT vocabulary practice.
List 26-27,Coup,"A sudden, successful action, often a seizure of power.",The student reviewed coup carefully during SSAT vocabulary practice.
List 26-27,Covenant,A formal agreement or promise.,The student reviewed covenant carefully during SSAT vocabulary practice.
List 26-27,Covert,"Hidden, secret, or disguised.",The student reviewed covert carefully during SSAT vocabulary practice.
List 26-27,Covet,To strongly desire something that belongs to someone else.,The student reviewed covet carefully during SSAT vocabulary practice.
